year,stage,h1,h2,h3,h4
2020,5,31828.598601312257,1744.8063137916129,5623.032478579677,24026.018208168065
2020,6,25169.574869794,7105.318640137333,3426.271744792,12434.970182293333
2020,7,20410.137852825483,13308.605531754838,2442.821635584839,5728.076959426129
2020,8,17523.704574093874,9734.70473947871,2196.388033959355,3055.1883033016125
2020,9,13027.040690106,5064.995581055667,1746.3991332996666,2284.674727377
2020,10,12499.901871220967,2754.251949187742,1808.8286172190324,1848.0620629093548
2020,11,18838.288834638664,2038.5228841146668,4674.289493815667,4029.3085042323337
2020,12,30518.70444808581,6962.184302547097,4503.357295868065,5343.6988092245165
2021,1,45992.872353830644,11536.969647809354,6346.1342143406455,7217.2743825616135
2021,2,51395.88141741072,10095.591761998216,6052.190202985357,14423.090000699285
2021,3,51756.63356854839,4903.752346900323,9869.155131679356,29569.102822583547
2021,4,34866.360546876,2275.2022054033337,4007.506233723667,22350.79915364833
2021,5,25394.064012099032,2489.4216269219355,2578.8067981351614,17062.24363659355
2021,6,21587.662760419666,6048.522892253666,1765.3352579746668,7431.726220704
2021,7,15751.920520415162,4636.717938823871,1605.5852562680645,4205.015979398387
2021,8,12283.989383822258,3288.5307065903226,1440.8474475490323,2568.6573289441935
2021,9,11124.318131511334,7610.521337891667,1319.6636962886666,1835.1189656576666
2021,10,22229.457283268708,12194.271925404515,1402.223065776774,2042.3623086248388
2021,11,29324.349674481666,5170.842683919333,4354.281827800333,6008.061368815667
2021,12,42730.24042338742,2180.983040102258,9939.992329259678,15494.047221523548
2022,1,71611.4484627016,2772.8433129103228,17799.48834425645,35154.74779485935
2022,2,77963.98005022321,2719.2132045207145,20980.413643974996,30797.956473215716
2022,3,52858.78112399193,6904.089520855162,17285.179277975807,32736.484059981613
2022,4,40928.53821614599,10066.010188802667,7554.100260417999,29655.617773439666
2022,5,26928.126071071612,18577.63813634226,3692.776808216129,18395.841387350967
2022,6,24273.353776043667,24208.976432293664,2858.892716471333,9956.335514324333
2022,7,16846.84255292516,7704.842568675806,2449.2024870848386,5347.77359501
2022,8,16060.427072834516,12487.83407888258,2060.7292165458066,3372.464316090645
2022,9,16133.850585939334,9714.907714844665,2232.900276693,2291.0903564453333
2022,10,24479.90366683774,20737.534148186453,1912.9472459358064,2211.0615391890324
2022,11,24425.456184897666,7791.937109375666,4230.198201497,4403.6517089849995
2022,12,42977.42918346806,8156.181829638064,9487.892672631935,10887.615470640001
2023,1,77841.1761592742,7115.966670866774,14460.296339467097,20352.732799901612
2023,2,73924.88560267857,7204.785522461786,13847.900425502858,22389.06229073857
2023,3,71116.75793850806,8086.679813508709,7841.496786795807,27647.748802925482
2023,4,55159.878255208336,6183.518562826,4286.469710287,28234.861653648
2023,5,36569.25680443645,5272.927639870645,3759.475223665161,18802.228830647095
2023,6,30862.038541668666,8244.966121420333,2329.1887939456665,8025.951611329334
2023,7,22869.693422381613,16145.927576865484,2204.765388734839,4039.8630449858065
2023,8,18510.108618954193,8120.976247480645,2151.2099924393547,2186.14290495871
2023,9,17295.988802085332,16122.271451824667,2063.921398926333,1677.4732014976667
2023,10,22523.349010839032,45323.83423639193,1565.055297852258,1340.7593560983871
2023,11,26426.80651041833,46866.216015625665,2161.404125977,1495.9890991213333
2023,12,28113.617124498385,15485.888687628065,1789.1869054,2308.809385237742
2024,1,37064.41601562548,10368.110603580322,6409.450140185161,6776.377898186129
